dataset_index,speaker_id,chapter_id,utterance_id,condition,target_bitrate_kbps,reference,prediction,wer,spectral_distortion,lsd_db,layer_1_drift,layer_6_drift,layer_12_drift,layer_1_raw_drift,layer_6_raw_drift,layer_12_raw_drift
1548,5142,36377,17,wav,,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOMI AND ME,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOME AND ME,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548,5142,36377,17,resample_control,,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOMI AND ME,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOME AND ME,0.07142857142857142,0.30439889430999756,0.5017862319946289,0.000764310359954834,0.0006903409957885742,0.0006828904151916504,0.0006009340286254883,0.0004941225051879883,0.00019544363021850586
1548,5142,36377,17,encodec_24k,24.0,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOMI AND ME,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN AOME AND ME,0.07142857142857142,57.2804069519043,7.418476581573486,0.15188688039779663,0.05036705732345581,0.029488861560821533,0.10777974128723145,0.039464712142944336,0.01328498125076294
1548,5142,36377,17,encodec_6k,6.0,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOMI AND ME,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOME AND ME,0.07142857142857142,64.9888916015625,7.902381420135498,0.23262357711791992,0.08687323331832886,0.05525177717208862,0.16510438919067383,0.0640076994895935,0.026292920112609863
1548,5142,36377,17,encodec_1.5k,1.5,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOMI AND ME,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN IONE AND MEN,0.14285714285714285,86.21564483642578,9.095132827758789,0.4338817000389099,0.2281118631362915,0.20542436838150024,0.31837373971939087,0.16867798566818237,0.11191397905349731
1092,4077,13751,18,wav,,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGENSES DRIVEN BEATEN AND KILLED WITH A PAPAL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,AMERICAN SCHOOLBOYS READ WITH EMOTIONS OF HORROR OF THE ALBAGINZES DRIVEN BEATEN AND KILLED WITH A PAPEL LEGATE DIRECTING THE BUTCHERY AND OF THE VOUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,4077,13751,18,resample_control,,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGENSES DRIVEN BEATEN AND KILLED WITH A PAPAL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,AMERICAN SCHOOLBOYS READ WITH EMOTIONS OF HORROR OF THE ALBAGINZES DRIVEN BEATEN AND KILLED WITH A PAPEL LEGATE DIRECTING THE BUTCHERY AND OF THE VOUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.078125,2.543997049331665,1.399842381477356,0.0034647583961486816,0.0030379891395568848,0.001721501350402832,0.002654135227203369,0.00222933292388916,0.0006491541862487793
1092,4077,13751,18,encodec_24k,24.0,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGENSES DRIVEN BEATEN AND KILLED WITH A PAPAL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBAGINZES DRIVEN BEATEN AND KILLED WITH A PAPEL LEGATE DIRECTING THE BUTCHERY AND OF THE TODOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.046875,42.337833404541016,6.102869033813477,0.15641629695892334,0.08310377597808838,0.03644394874572754,0.1145697832107544,0.06669437885284424,0.015469729900360107
1092,4077,13751,18,encodec_6k,6.0,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGENSES DRIVEN BEATEN AND KILLED WITH A PAPAL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,AMERICAN SCHOOLBOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGINZES DRIVEN BEATEN AND KILLED WITH A PAPL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.0625,49.2686653137207,6.615997791290283,0.25398576259613037,0.12517476081848145,0.06810355186462402,0.18485867977142334,0.09755194187164307,0.02943521738052368
1092,4077,13751,18,encodec_1.5k,1.5,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGENSES DRIVEN BEATEN AND KILLED WITH A PAPAL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,AMERICAN SCHOOLBOYS READ WITH EMOTIONS OF HORROR OF THE COMBLIGENZES DRIVEN BEATEN AND KILLED WITH AE BATTLE LIKE ITH DIRECTING THE BUTCHERY AND OF VE TOUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DETRI AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.15625,62.650787353515625,7.5058722496032715,0.44902175664901733,0.30027979612350464,0.22063994407653809,0.33651626110076904,0.22101861238479614,0.11246031522750854
